id,uid,name,description,website,business_type,created_at,updated_at,log_data
"422","csm_YDFINarFavqCrJ9","Pokkels",,"https://www.pokkels.com/",,"2022-02-01 14:37:41.020543","2022-02-01 14:37:58.765318","{""h"": [{""c"": {""id"": 422, ""uid"": ""csm_YDFINarFavqCrJ9"", ""name"": ""Pokkels"", ""website"": ""https://www.pokkels.com/"", ""created_at"": ""2022-02-01T14:37:41.020543"", ""updated_at"": ""2022-02-01T14:37:41.020543"", ""description"": null, ""business_type"": null}, ""v"": 1, ""ts"": 1643726261021}, {""c"": {""updated_at"": ""2022-02-01 14:37:58.765318""}, ""v"": 2, ""ts"": 1643726278765}], ""v"": 2}"
"427","csm_GPc5L2mSHwY7eS0","The Special Olympics of Southern California",,"https://www.specialolympics.org",,"2022-02-09 16:08:54.05512","2022-02-09 16:09:13.18528","{""h"": [{""c"": {""id"": 427, ""uid"": ""csm_GPc5L2mSHwY7eS0"", ""name"": ""The Special Olympics of Southern California"", ""website"": ""https://www.specialolympics.org"", ""created_at"": ""2022-02-09T16:08:54.05512"", ""updated_at"": ""2022-02-09T16:08:54.05512"", ""description"": null, ""business_type"": null}, ""v"": 1, ""ts"": 1644422934055}, {""c"": {""updated_at"": ""2022-02-09 16:09:13.18528""}, ""v"": 2, ""ts"": 1644422953185}], ""v"": 2}"
"431","csm_6GCRNRfwA0Muy4J","General overview of project processes",,,"B2B","2022-02-09 16:18:19.299413","2022-02-09 16:18:19.299413","{""h"": [{""c"": {""id"": 431, ""uid"": ""csm_6GCRNRfwA0Muy4J"", ""name"": ""General overview of project processes"", ""website"": null, ""created_at"": ""2022-02-09T16:18:19.299413"", ""updated_at"": ""2022-02-09T16:18:19.299413"", ""description"": null, ""business_type"": ""B2B""}, ""v"": 1, ""ts"": 1644423499299}], ""v"": 1}"
"439","csm_esJqZZ9O2ESVCaY","Aiim International ",,"https://www.aiim.org/","B2B","2022-02-11 08:28:23.94803","2022-02-11 08:28:25.347669","{""h"": [{""c"": {""id"": 439, ""uid"": ""csm_esJqZZ9O2ESVCaY"", ""name"": ""Aiim International "", ""website"": ""https://www.aiim.org/"", ""created_at"": ""2022-02-11T08:28:23.94803"", ""updated_at"": ""2022-02-11T08:28:23.94803"", ""description"": null, ""business_type"": ""B2B""}, ""v"": 1, ""ts"": 1644568103948}, {""c"": {""updated_at"": ""2022-02-11 08:28:25.347669""}, ""v"": 2, ""ts"": 1644568105348}], ""v"": 2}"
"440","csm_3IXr6bUtFwY9PLP","NoBroker ",,"https://www.nobroker.in/","B2C","2022-02-11 08:28:25.671978","2022-02-11 08:28:52.358027","{""h"": [{""c"": {""id"": 440, ""uid"": ""csm_3IXr6bUtFwY9PLP"", ""name"": ""NoBroker "", ""website"": ""https://www.nobroker.in/"", ""created_at"": ""2022-02-11T08:28:25.671978"", ""updated_at"": ""2022-02-11T08:28:25.671978"", ""description"": null, ""business_type"": ""B2C""}, ""v"": 1, ""ts"": 1644568105672}, {""c"": {""updated_at"": ""2022-02-11 08:28:52.358027""}, ""v"": 2, ""ts"": 1644568132358}], ""v"": 2}"
"336","csm_RNbrxAipLqCvawp","Tinkoff",,"https://www.tinkoff.ru/eng/",,"2021-11-16 14:36:38.440249","2021-11-16 14:37:01.635201","{""h"": [{""c"": {""id"": 336, ""uid"": ""csm_RNbrxAipLqCvawp"", ""name"": ""Tinkoff"", ""website"": ""https://www.tinkoff.ru/eng/"", ""created_at"": ""2021-11-16T14:36:38.440249"", ""updated_at"": ""2021-11-16T14:36:38.440249"", ""description"": null, ""business_type"": null}, ""v"": 1, ""ts"": 1637073398440}, {""c"": {""updated_at"": ""2021-11-16 14:37:01.635201""}, ""v"": 2, ""ts"": 1637073421635}], ""v"": 2}"
"338","csm_FLd1jG6N00RaDly","Kidbox",,"www.kidbox.com",,"2021-11-16 14:36:39.786232","2021-11-16 14:37:02.253122","{""h"": [{""c"": {""id"": 338, ""uid"": ""csm_FLd1jG6N00RaDly"", ""name"": ""Kidbox"", ""website"": ""www.kidbox.com"", ""created_at"": ""2021-11-16T14:36:39.786232"", ""updated_at"": ""2021-11-16T14:36:39.786232"", ""description"": null, ""business_type"": null}, ""v"": 1, ""ts"": 1637073399786}, {""c"": {""updated_at"": ""2021-11-16 14:37:02.253122""}, ""v"": 2, ""ts"": 1637073422253}], ""v"": 2}"
"361","csm_oLoYxKgVdrthvGF","HP Windows and Doors",,"http://www.hpwindowsanddoors.com/","B2B","2021-11-29 08:43:01.092492","2021-11-29 08:43:01.092492","{""h"": [{""c"": {""id"": 361, ""uid"": ""csm_oLoYxKgVdrthvGF"", ""name"": ""HP Windows and Doors"", ""website"": ""http://www.hpwindowsanddoors.com/"", ""created_at"": ""2021-11-29T08:43:01.092492"", ""updated_at"": ""2021-11-29T08:43:01.092492"", ""description"": null, ""business_type"": ""B2B""}, ""v"": 1, ""ts"": 1638175381092}], ""v"": 1}"
"358","csm_qaR1P8QNtb66g81","DataGrail",,"https://www.datagrail.io/ ","B2B","2021-11-29 08:42:57.699409","2021-11-29 08:43:22.540296","{""h"": [{""c"": {""id"": 358, ""uid"": ""csm_qaR1P8QNtb66g81"", ""name"": ""DataGrail"", ""website"": ""https://www.datagrail.io/ "", ""created_at"": ""2021-11-29T08:42:57.699409"", ""updated_at"": ""2021-11-29T08:42:57.699409"", ""description"": null, ""business_type"": ""B2B""}, ""v"": 1, ""ts"": 1638175377699}, {""c"": {""updated_at"": ""2021-11-29 08:43:22.540296""}, ""v"": 2, ""ts"": 1638175402540}], ""v"": 2}"
"370","csm_FaBquQkYkDlIYt6","Creekstone Farms",,"https://www.creekstonefarms.com/",,"2021-12-13 13:40:02.135435","2021-12-13 13:40:22.190558","{""h"": [{""c"": {""id"": 370, ""uid"": ""csm_FaBquQkYkDlIYt6"", ""name"": ""Creekstone Farms"", ""website"": ""https://www.creekstonefarms.com/"", ""created_at"": ""2021-12-13T13:40:02.135435"", ""updated_at"": ""2021-12-13T13:40:02.135435"", ""description"": null, ""business_type"": null}, ""v"": 1, ""ts"": 1639402802135}, {""c"": {""updated_at"": ""2021-12-13 13:40:22.190558""}, ""v"": 2, ""ts"": 1639402822191}], ""v"": 2}"
