id,uid,article_id,industry_id,created_at,updated_at,log_data
"1154","csi_tOVNLYaYQXaNPDy","351","344","2022-01-26 15:18:19.297604","2022-01-26 15:18:19.297604","{""h"": [{""c"": {""id"": 1154, ""uid"": ""csi_tOVNLYaYQXaNPDy"", ""article_id"": 351, ""created_at"": ""2022-01-26T15:18:19.297604"", ""updated_at"": ""2022-01-26T15:18:19.297604"", ""industry_id"": 344}, ""v"": 1, ""ts"": 1643210299298}], ""v"": 1}"
"1167","csi_l3KgFeGXV8BKGjT","352","186","2022-01-26 15:18:31.448209","2022-01-26 15:18:31.448209","{""h"": [{""c"": {""id"": 1167, ""uid"": ""csi_l3KgFeGXV8BKGjT"", ""article_id"": 352, ""created_at"": ""2022-01-26T15:18:31.448209"", ""updated_at"": ""2022-01-26T15:18:31.448209"", ""industry_id"": 186}, ""v"": 1, ""ts"": 1643210311448}], ""v"": 1}"
"200","csi_UyYeKKlmSmXIOL9","83","209","2021-07-26 07:41:09.458411","2021-07-26 07:41:09.458411","{""h"": [{""c"": {""id"": 200, ""uid"": ""csi_UyYeKKlmSmXIOL9"", ""article_id"": 83, ""created_at"": ""2021-07-26T07:41:09.458411"", ""updated_at"": ""2021-07-26T07:41:09.458411"", ""industry_id"": 209}, ""v"": 1, ""ts"": 1627285269458}], ""v"": 1}"
"201","csi_61d1Hw6JlHIgPBZ","84","586","2021-07-26 07:41:13.327587","2021-07-26 07:41:13.327587","{""h"": [{""c"": {""id"": 201, ""uid"": ""csi_61d1Hw6JlHIgPBZ"", ""article_id"": 84, ""created_at"": ""2021-07-26T07:41:13.327587"", ""updated_at"": ""2021-07-26T07:41:13.327587"", ""industry_id"": 586}, ""v"": 1, ""ts"": 1627285273328}], ""v"": 1}"
"202","csi_yuN4jhkAyTYg38M","84","240","2021-07-26 07:41:13.355947","2021-07-26 07:41:13.355947","{""h"": [{""c"": {""id"": 202, ""uid"": ""csi_yuN4jhkAyTYg38M"", ""article_id"": 84, ""created_at"": ""2021-07-26T07:41:13.355947"", ""updated_at"": ""2021-07-26T07:41:13.355947"", ""industry_id"": 240}, ""v"": 1, ""ts"": 1627285273356}], ""v"": 1}"
"203","csi_tew4coYWh0HXb3P","84","272","2021-07-26 07:41:13.367644","2021-07-26 07:41:13.367644","{""h"": [{""c"": {""id"": 203, ""uid"": ""csi_tew4coYWh0HXb3P"", ""article_id"": 84, ""created_at"": ""2021-07-26T07:41:13.367644"", ""updated_at"": ""2021-07-26T07:41:13.367644"", ""industry_id"": 272}, ""v"": 1, ""ts"": 1627285273368}], ""v"": 1}"
"204","csi_0NhCgupG4AUi9xi","84","209","2021-07-26 07:41:13.378144","2021-07-26 07:41:13.378144","{""h"": [{""c"": {""id"": 204, ""uid"": ""csi_0NhCgupG4AUi9xi"", ""article_id"": 84, ""created_at"": ""2021-07-26T07:41:13.378144"", ""updated_at"": ""2021-07-26T07:41:13.378144"", ""industry_id"": 209}, ""v"": 1, ""ts"": 1627285273378}], ""v"": 1}"
"205","csi_r9waKqvMdtyLTaB","84","426","2021-07-26 07:41:13.38821","2021-07-26 07:41:13.38821","{""h"": [{""c"": {""id"": 205, ""uid"": ""csi_r9waKqvMdtyLTaB"", ""article_id"": 84, ""created_at"": ""2021-07-26T07:41:13.38821"", ""updated_at"": ""2021-07-26T07:41:13.38821"", ""industry_id"": 426}, ""v"": 1, ""ts"": 1627285273388}], ""v"": 1}"
"206","csi_89kNkRrcJo16l1P","84","271","2021-07-26 07:41:13.403459","2021-07-26 07:41:13.403459","{""h"": [{""c"": {""id"": 206, ""uid"": ""csi_89kNkRrcJo16l1P"", ""article_id"": 84, ""created_at"": ""2021-07-26T07:41:13.403459"", ""updated_at"": ""2021-07-26T07:41:13.403459"", ""industry_id"": 271}, ""v"": 1, ""ts"": 1627285273403}], ""v"": 1}"
"207","csi_6Do87yBtreoJFL8","84","137","2021-07-26 07:41:13.415275","2021-07-26 07:41:13.415275","{""h"": [{""c"": {""id"": 207, ""uid"": ""csi_6Do87yBtreoJFL8"", ""article_id"": 84, ""created_at"": ""2021-07-26T07:41:13.415275"", ""updated_at"": ""2021-07-26T07:41:13.415275"", ""industry_id"": 137}, ""v"": 1, ""ts"": 1627285273415}], ""v"": 1}"
