id,uid,article_id,type,position,created_at,updated_at,log_data
"4578","css_mdT2Vskr9nkW4DI","296","outcome","2","2021-11-11 12:44:42.03556","2021-11-11 12:44:42.03556","{""h"": [{""c"": {""id"": 4578, ""uid"": ""css_mdT2Vskr9nkW4DI"", ""type"": ""outcome"", ""position"": 2, ""article_id"": 296, ""created_at"": ""2021-11-11T12:44:42.03556"", ""updated_at"": ""2021-11-11T12:44:42.03556""}, ""v"": 1, ""ts"": 1636634682036}], ""v"": 1}"
"3625","css_Wpw1KpfHcSQaesY","90","background","0","2021-10-14 18:23:44.305429","2021-10-14 18:23:44.305429","{""h"": [{""c"": {""id"": 3625, ""uid"": ""css_Wpw1KpfHcSQaesY"", ""type"": ""background"", ""position"": 0, ""article_id"": 90, ""created_at"": ""2021-10-14T18:23:44.305429"", ""updated_at"": ""2021-10-14T18:23:44.305429""}, ""v"": 1, ""ts"": 1634235824305}], ""v"": 1}"
"3626","css_YsR0yQkUBON6H9c","90","overview","1","2021-10-14 18:23:44.392963","2021-10-14 18:23:44.392963","{""h"": [{""c"": {""id"": 3626, ""uid"": ""css_YsR0yQkUBON6H9c"", ""type"": ""overview"", ""position"": 1, ""article_id"": 90, ""created_at"": ""2021-10-14T18:23:44.392963"", ""updated_at"": ""2021-10-14T18:23:44.392963""}, ""v"": 1, ""ts"": 1634235824393}], ""v"": 1}"
"3627","css_qo1JcOuEAf1YewM","90","outcome","2","2021-10-14 18:23:44.459707","2021-10-14 18:23:44.459707","{""h"": [{""c"": {""id"": 3627, ""uid"": ""css_qo1JcOuEAf1YewM"", ""type"": ""outcome"", ""position"": 2, ""article_id"": 90, ""created_at"": ""2021-10-14T18:23:44.459707"", ""updated_at"": ""2021-10-14T18:23:44.459707""}, ""v"": 1, ""ts"": 1634235824460}], ""v"": 1}"
"4348","css_LDzxSEYWFz6NMaw","231","background","0","2021-11-01 12:54:17.087793","2021-11-01 12:54:17.087793","{""h"": [{""c"": {""id"": 4348, ""uid"": ""css_LDzxSEYWFz6NMaw"", ""type"": ""background"", ""position"": 0, ""article_id"": 231, ""created_at"": ""2021-11-01T12:54:17.087793"", ""updated_at"": ""2021-11-01T12:54:17.087793""}, ""v"": 1, ""ts"": 1635771257088}], ""v"": 1}"
"4349","css_JiaTXHWe4JofIHk","231","overview","1","2021-11-01 12:54:17.121547","2021-11-01 12:54:17.121547","{""h"": [{""c"": {""id"": 4349, ""uid"": ""css_JiaTXHWe4JofIHk"", ""type"": ""overview"", ""position"": 1, ""article_id"": 231, ""created_at"": ""2021-11-01T12:54:17.121547"", ""updated_at"": ""2021-11-01T12:54:17.121547""}, ""v"": 1, ""ts"": 1635771257122}], ""v"": 1}"
"4350","css_8w16r3ntWPIHPFi","231","outcome","2","2021-11-01 12:54:17.188301","2021-11-01 12:54:17.188301","{""h"": [{""c"": {""id"": 4350, ""uid"": ""css_8w16r3ntWPIHPFi"", ""type"": ""outcome"", ""position"": 2, ""article_id"": 231, ""created_at"": ""2021-11-01T12:54:17.188301"", ""updated_at"": ""2021-11-01T12:54:17.188301""}, ""v"": 1, ""ts"": 1635771257188}], ""v"": 1}"
"3841","css_uvUN0VmESqpEZ9O","199","background","0","2021-10-17 15:15:58.939245","2021-10-17 15:15:58.939245","{""h"": [{""c"": {""id"": 3841, ""uid"": ""css_uvUN0VmESqpEZ9O"", ""type"": ""background"", ""position"": 0, ""article_id"": 199, ""created_at"": ""2021-10-17T15:15:58.939245"", ""updated_at"": ""2021-10-17T15:15:58.939245""}, ""v"": 1, ""ts"": 1634483758939}], ""v"": 1}"
"3842","css_bEr0UHcv0ngdFYD","199","overview","1","2021-10-17 15:15:58.976723","2021-10-17 15:15:58.976723","{""h"": [{""c"": {""id"": 3842, ""uid"": ""css_bEr0UHcv0ngdFYD"", ""type"": ""overview"", ""position"": 1, ""article_id"": 199, ""created_at"": ""2021-10-17T15:15:58.976723"", ""updated_at"": ""2021-10-17T15:15:58.976723""}, ""v"": 1, ""ts"": 1634483758977}], ""v"": 1}"
"3843","css_mSb5UW2dmHXdHBT","199","outcome","2","2021-10-17 15:15:59.074217","2021-10-17 15:15:59.074217","{""h"": [{""c"": {""id"": 3843, ""uid"": ""css_mSb5UW2dmHXdHBT"", ""type"": ""outcome"", ""position"": 2, ""article_id"": 199, ""created_at"": ""2021-10-17T15:15:59.074217"", ""updated_at"": ""2021-10-17T15:15:59.074217""}, ""v"": 1, ""ts"": 1634483759074}], ""v"": 1}"
